comuna,id_predio,Superficie (ha),Consumo mensual,id_comuna
santa barbara,158,10452.75,6271715.115,190
santa juana,159,48935.0,29361274.91,3
santiago,160,7841.777778,4705048.0,230
talcahuano,161,1098.5,659100.0,105
taltal,162,39964.0,23978280.0,158
temuco,163,6248.0,3748555.799,194
teno,164,13757.0,8254200.0,149
tierra amarilla,165,84162.3,50497362.6,135
tiltil,166,2515.0,1509124.2,11
tome,167,19161.0,11496753.74,159
traiguen,168,6372.0,3823117.247,177
valdivia,169,9540.2,5724170.424,44
vallenar,170,92649.5,55589745.75,126
valparaiso,171,3350.0,2009937.0,146
victoria,172,10247.66667,6148514.053,69
vicuna,173,35032.72727,21019630.91,111
vilcun,174,4588.333333,2753059.815,13
vina del mar,175,3350.0,2009937.0,63
yumbel,176,17408.0,10444766.5,141
yungay,177,31615.0,18968921.57,58
