consumo (m3);mes;id_comuna
35230.66;12;226
142878.96;1;115
142860.88999999998;2;115
138889.21;3;115
131807.12;4;115
125679.15;5;115
118592.24;6;115
116330.07999999996;7;115
108231.91;8;115
114497.74;9;115
128146.67;10;115
134909.77;11;115
144464.91;12;115
77029.89;1;1
71218.96;2;1
76725.79000000001;3;1
68238.6;4;1
62652.68000000001;5;1
60592.96000000001;6;1
54752.47;7;1
56560.890000000014;8;1
57549.06000000001;9;1
64335.23000000001;10;1
78478.22999999998;11;1
74131.8;12;1
71973.44;1;118
71441.07;2;118
72142.32;3;118
67183.1;4;118
62260.91;5;118
61296.13;6;118
59921.36;7;118
55527.72;8;118
60826.99;9;118
64758.350000000006;10;118
64054.05;11;118
70782.23000000001;12;118
123564.0;1;37
122702.0;2;37
121688.0;3;37
105935.0;4;37
100509.0;5;37
100384.0;6;37
96233.0;7;37
95773.0;8;37
101762.0;9;37
98098.0;10;37
101051.0;11;37
109522.0;12;37
141013.33000000002;1;121
179681.63;2;121
190244.6;3;121
136201.05;4;121
113544.01;5;121
97666.11;6;121
89024.51;7;121
96338.91;8;121
98161.54;9;121
98924.98;10;121
107782.98;11;121
114140.25;12;121
706299.0;1;185
671545.0;2;185
672829.0;3;185
624759.0;4;185
629359.0;5;185
621721.0;6;185
633991.0;7;185
581944.0;8;185
612559.0;9;185
629613.0;10;185
645462.0;11;185
658480.0;12;185
218840.01000000004;1;150
208529.13;2;150
213189.13;3;150
200359.83;4;150
184662.9;5;150
176283.79;6;150
164034.01;7;150
165506.72;8;150
177482.21;9;150
173312.33000000002;10;150
200603.84;11;150
204668.85;12;150
38036.0;1;73
41357.0;2;73
41610.0;3;73
36956.0;4;73
37015.0;5;73
38071.0;6;73
36983.0;7;73
36845.0;8;73
36773.0;9;73
38060.0;10;73
39930.0;11;73
41107.0;12;73
9165.0;1;223
13095.83;2;223
12744.42;3;223
9018.91;4;223
11379.11;5;223
8615.91;6;223
9696.33;7;223
8631.38;8;223
9097.09;9;223
9657.03;10;223
9406.75;11;223
9810.24;12;223
67089.0;1;0
64543.0;2;0
64637.01;3;0
61562.0;4;0
57691.99;5;0
52388.0;6;0
50356.0;7;0
51211.0;8;0
49988.0;9;0
55405.0;10;0
59368.0;11;0
66400.0;12;0
698036.3999999999;1;82
728414.8400000001;2;82
689209.42;3;82
682674.6699999999;4;82
626466.52;5;82
581043.81;6;82
565896.5399999999;7;82
544952.14;8;82
560885.9299999999;9;82
616551.31;10;82
661405.02;11;82
708991.1300000001;12;82
54888.0;1;158
48834.0;2;158
52592.0;3;158
47253.0;4;158
46415.0;5;158
44993.0;6;158
43833.0;7;158
44666.0;8;158
46270.0;9;158
47215.0;10;158
47831.0;11;158
49223.0;12;158
47875.0;1;151
46684.0;2;151
46995.0;3;151
46105.0;4;151
45183.87;5;151
41882.01;6;151
39481.0;7;151
36874.01;8;151
40215.0;9;151
43361.0;10;151
46287.0;11;151
49105.00000000001;12;151
402352.38;1;152
371970.6;2;152
360081.22000000003;3;152
353513.03999999986;4;152
323237.78;5;152
300034.22000000003;6;152
290944.4300000001;7;152
275440.21;8;152
297352.91000000003;9;152
315611.70000000007;10;152
339711.83;11;152
363971.78;12;152
41618.03;1;186
40352.17;2;186
39993.12;3;186
40375.83;4;186
41148.0;5;186
35363.78;6;186
33990.07;7;186
31058.44;8;186
33166.0;9;186
37214.66;10;186
40606.94;11;186
42289.18;12;186
70647.0;1;138
70925.0;2;138
64753.0;3;138
57346.0;4;138
58081.0;5;138
56046.0;6;138
55505.0;7;138
56738.0;8;138
54154.0;9;138
58570.0;10;138
61842.0;11;138
63732.0;12;138
214174.23;1;90
198713.53;2;90
202320.61;3;90
189274.62;4;90
185012.66;5;90
191197.59;6;90
191737.36000000004;7;90
179522.57;8;90
183173.86;9;90
183395.69;10;90
186726.97;11;90
190615.59000000003;12;90
81796.0;1;23
73371.98;2;23
77853.99;3;23
69495.98999999999;4;23
61203.98;5;23
57500.98;6;23
57843.0;7;23
54587.99;8;23
51769.99;9;23
60923.0;10;23
65683.98;11;23
76393.0;12;23
914171.0;1;187
884319.0;2;187
891966.0;3;187
827209.0;4;187
850259.0;5;187
836168.0;6;187
826485.0;7;187
823702.0;8;187
831728.0;9;187
841980.0;10;187
854182.0;11;187
867310.0;12;187
1558232.2000000002;1;102
1476781.8;2;102
1422712.65;3;102
1452787.61;4;102
1372981.0700000003;5;102
1333096.2000000004;6;102
1269720.1900000002;7;102
1267948.5299999998;8;102
1292020.4999999998;9;102
1345403.99;10;102
1401888.09;11;102
1499060.75;12;102
707755.0599999999;1;105
673841.19;2;105
661452.64;3;105
653395.07;4;105
652857.48;5;105
602743.6699999999;6;105
620815.9000000001;7;105
602406.8400000001;8;105
618216.3900000001;9;105
638428.1299999999;10;105
619550.6599999999;11;105
706479.79;12;105
24624.0;1;225
22099.0;2;225
23429.0;3;225
21263.0;4;225
21490.0;5;225
19007.0;6;225
19119.0;7;225
17576.0;8;225
18111.0;9;225
21642.0;10;225
17344.0;11;225
21917.0;12;225
1676323.44;1;63
1661463.14;2;63
1653400.87;3;63
1571530.1599999997;4;63
1468374.24;5;63
1416189.9899999998;6;63
1406277.41;7;63
1371014.9300000002;8;63
1396723.61;9;63
1440227.4;10;63
1539725.2800000005;11;63
1570054.2100000002;12;63
623763.9500000002;1;217
588468.86;2;217
607874.02;3;217
573769.05;4;217
519761.85;5;217
510157.1700000001;6;217
502566.3900000001;7;217
490859.2200000001;8;217
