codigo_cuenca,id_cuenca,nombre_cuenca,1,2,3,4,5,6,7,8,9,10,11,12
73,25,Rio Maule,3535105.21352673,2600490.2197117,2459871.3148984,3846118.7806444,5197044.04073079,8683645.78136985,11171927.2695608,17611732.0174209,11500989.1835974,12564382.9998587,12116126.2840773,9071215.97742509
81,26,Rio Itata,1949888.71728423,1355097.89574388,1466693.50549281,2109081.27903988,4166987.81238539,13136654.0197227,15439376.445239,27614404.5125003,18426304.0864489,18236341.7978392,11922144.284342,5389407.95520714
82,27,Costeras E Islas Entre Rio Itata Y Rio Bio-Bio,409938.13465842,472434.765353002,560327.713340337,611091.720056663,981050.039199379,1869033.47706601,2257773.9714824,3232985.0036055,2068127.09254164,1868687.40328663,1201654.67867388,922152.504146497
83,28,Rio Bio-Bio,10012368.0495365,7520534.29104091,8046744.17028514,7818806.01859226,9767615.97429791,19983376.8690484,26711367.0023112,40989261.3135118,33363228.5357844,34517135.1226041,30307745.9658314,19580432.4194555
87,29,Rio Lebu,304207.928655129,209927.317128927,227414.057772686,324044.293965722,748713.407597163,3198088.75843724,3249037.9868434,4341883.04498507,2873787.19585055,1428560.4853667,869390.582976448,492238.118237789
88,30,Costeras Lebu-Paicavi,671125.592435943,632404.118045487,629460.127226505,654300.712765601,1152455.60391753,3474209.74155952,2729723.93256605,3541080.58557378,3320554.25598529,4323447.87003612,3086932.83625013,1774890.96702725
91,31,Rio Imperial,2446174.82743684,1855307.65856761,2085011.07852246,2640615.66067326,4744516.9984797,18168479.7378507,18418450.4551175,27877418.1483373,16574316.8367934,16040830.8058251,9724902.52413165,5605575.99415379
94,32,Rio Tolten,10472534.7190373,8592383.16754032,9282889.24301472,9449334.84901344,15339071.8775337,35697316.3173826,42700112.7531944,60690782.20594,41903686.3467344,44160977.5575926,38816506.2638409,28111593.2300036
101,33,Rio Valdivia,7567403.3012144,5405655.15087226,5308485.6249319,6653802.75717844,15883299.7637496,33583468.8694938,39176709.6516609,54687740.2396303,41092189.7205297,36575474.0042681,33102370.2832578,21385305.1558606
103,34,Rio Bueno,7854903.06139523,5956121.46858598,6022621.05071021,7499833.91964879,13957395.2368796,23488553.8041649,20319256.5744635,29623918.1345182,21341213.7728641,17280990.2908578,14076260.3551412,10817233.2510181
104,35,Cuencas E Islas R. Bueno - R. Puelo,1649004.51211093,1520681.25329817,1383860.50740504,1930079.24497151,3291742.40010176,5235284.11833773,4762244.99335406,6623140.31089731,3980750.86005279,4070856.147709,2214561.18131451,2194331.15805133
